No.,EPC,Last Record Time
39,e2801170000002161d2d6cad,2022-02-15 22:42:35
40,e2801170000002161d2da0bd,2022-02-15 22:42:38
41,e2801170000002161d2dc2dc,2022-02-15 22:42:40
42,e2801170000002161d2d6c6d,2022-02-15 22:42:42
43,e2801170000002161d2dd4cc,2022-02-15 22:42:44
44,e2801170000002161d2da02c,2022-02-15 22:42:50
45,e2801170000002161d2d6cdd,2022-02-15 22:42:52
46,e2801170000002161d2da03c,2022-02-15 22:42:54
47,e2801170000002161d2d5a4d,2022-02-15 22:42:56
48,e2801170000002161d2d5aed,2022-02-15 22:42:58
49,e2801170000002161d2d6cbd,2022-02-15 22:43:08
50,e2801170000002161d2da01d,2022-02-15 22:43:10
51,e2801170000002161d2e08cb,2022-02-15 22:43:13
52,e2801170000002161d2dc26d,2022-02-15 22:43:15
53,e2801170000002161d2d5a9d,2022-02-15 22:43:17
54,e2801170000002161d2e3c4b,2022-02-15 22:43:22
55,e2801170000002161d2e2a8b,2022-02-15 22:43:25
56,e2801170000002161d2da07c,2022-02-15 22:43:27
57,e2801170000002161d2d5acc,2022-02-15 22:43:29
58,e2801170000002161d2e3c6b,2022-02-15 22:43:31
59,e2801170000002161d2d6a9e,2022-02-15 22:43:38
60,e2801170000002161d2e3c1b,2022-02-15 22:43:41
61,e2801170000002161d2dc28d,2022-02-15 22:43:43
62,e2801170000002161d2d5a8c,2022-02-15 22:43:46
63,e2801170000002161d2d5a7c,2022-02-15 22:43:48
64,e2801170000002161d2d6cec,2022-02-15 22:43:54
65,e2801170000002161d2d6c7c,2022-02-15 22:43:57
66,e2801170000002161d2d5a3c,2022-02-15 22:44:00
67,e2801170000002161d2d6c5c,2022-02-15 22:44:02
68,e2801170000002161d2d5a4c,2022-02-15 22:44:04
69,e2801170000002161d2d5a6c,2022-02-15 22:44:11
70,e2801170000002161d2d5a5c,2022-02-15 22:44:14
71,e2801170000002161d2e2a9b,2022-02-15 22:44:16
72,e2801170000002161d2e2acb,2022-02-15 22:44:18
73,e2801170000002161d2d5adc,2022-02-15 22:44:21
74,e2801170000002161d2dd4ab,2022-02-15 22:44:26
75,e2801170000002161d2d5abd,2022-02-15 22:44:29
76,e2801170000002161d2dd43b,2022-02-15 22:44:32
77,e2801170000002161d2dd48b,2022-02-15 22:44:34
78,e2801170000002161d2d6ace,2022-02-15 22:44:36
